estimate.size	estimate.diaphragm	estimate.palp	variance.size	variance.diaphragm	variance.palp
MH616012_CO1_Osedax_sp_BioSuOr_4	4.37989936066551	1.9836525358335	2.04607420143798	3.55999542004037	1.43016385188431	1.16281600799223
MT556178_CO1_Osedax_fenrisi	4.37989936066551	1.9836525358335	2.04607420143798	3.55999542004037	1.43016385188431	1.16281600799223
JX280609_CO1_Osedax_sp_MB17	3.63226280844376	1.38629436111989	1.50407739677627	1.46687996178375	NA	NA
EU223356_CO1_Osedax_sp_nude_palp_A	1.79175946922805	-0.287682072451781	1.09861228866811	NA	NA	NA
EU236218_CO1_Osedax_sp_nude_palp_B	2.3717007697605	0.353863338168614	1.09670241231416	3.4440987323506	1.35669363867213	1.13806998715782
KP119563_CO1_Osedax_sp_Nude_palp_G	1.17766485674723	-0.510825623765991	-0.356674943938732	1.46628774495912	NA	NA
FJ347643_CO1_Osedax_sp_nude_palp_F	3.68887945411394	0.405465108108164	3.2188758248682	NA	NA	NA
MH616075_CO1_Osedax_sp_BioSuOr_3	2.88977666416287	0.740595036331371	1.31838933738173	3.14113537570456	1.17968964567474	1.0784981202695
KJ598040_CO1_Osedax_rogersi	3.27720781250639	1.00995033888127	1.94591014905531	2.62097559885891	0.926866613198221	NA
KF444422_CO1_Osedax_antarcticus	2.38590305879409	0.336472236621213	1.12390407464085	1.48592511124501	NA	0.814307102085004
KJ598038_CO1_Osedax_crouchi	3.90874154714362	1.48160454092422	2.7219531062712	1.4663514778809	NA	NA
KJ598039_CO1_Osedax_nordenskjoeldi	2.04886421669327	0.0676586484738149	0.924258901523332	1.4663514778809	NA	NA
EU267675_CO1_Osedax_sp_nude_palp_C	1.10675157022158	-0.693147180559945	0.693147180559945	1.46572206175044	NA	NA
FM998107_CO1_Osedax_sp_sagami_6	1.13768055398181	-0.630442493140875	0.65384360743538	1.53991474682482	0.103691486771619	0.275864333088017
FJ347630_CO1_Osedax_sp_nude_palp_D	1.09861228866811	1.02961941718116	1.25276296849537	NA	NA	NA
FM998110_CO1_Osedax_sp_sagami_8	1.22377175637082	0.967274206480883	1.3272796916407	0.24377348791917	0.0860294663537122	0.233866376177778
FJ347632_CO1_Osedax_sp_nude_palp_E	2.45901330907798	0.470003629245736	0.832909122935104	1.46668273365812	NA	NA
MH616036_CO1_Osedax_sp_BioSuOr_1	2.69183928983982	0.618139551748485	1.25156255387254	3.57932063773152	1.44066065528884	1.16624658560484
FJ347616_CO1_Osedax_sp_yellow_patch	2.68836349548612	0.587786664902119	1.26183760238722	1.48764014475331	NA	0.816357322276723
KT860545_CO1_Osedax_deceptionensis	2.56494935746154	0.350656871613169	1.15897068480988	NA	NA	0.804997244345779
FJ347639_CO1_Osedax_sp_green_palp	2.30258509299405	0	0.9934082729198	NA	NA	0.804804733672117
FM998083_CO1_Osedax_sp_sagami_5	2.59105020879909	0.514647083041446	1.18661261100465	3.23991980283277	1.25294268429859	1.10338400500999
KT860548_CO1_Osedax_sp_Mediterranea	2.8139948585034	0.699071318383596	1.29617631852907	3.66615249120489	1.49887539195003	1.18600786717761
KP119564_CO1_Osedax_priapus	2.26606856444391	0.336472236621213	0.405465108108164	1.46687533857625	NA	NA
DQ996622_CO1_Osedax_sp_1_SBJ_2006	3.71825177506319	1.43084964427573	1.72188502686529	4.24000610779875	1.87593242519466	1.31372187122657
MH616081_CO1_Osedax_sp_BioSuOr_2	3.71825177506319	1.43084964427573	1.72188502686529	4.24000610779875	1.87593242519466	1.31372187122657
